amps,cell,durs,expt,files,laser,laser_dur,laser_start,rep,spikes
80,6,1000,soundfile,lunatics.wav,1,100,0,3,-87.0333333333306
80,6,1000,soundfile,lunatics.wav,1,100,0,3,904.433333333337
80,6,1000,soundfile,lunatics.wav,1,100,0,3,923.966666666672
80,6,1000,soundfile,lunatics.wav,1,100,0,3,925.533333333334
80,6,1000,soundfile,lunatics.wav,1,100,0,3,927.100000000003
80,6,1000,soundfile,lunatics.wav,1,100,0,3,928.666666666672
80,6,1000,soundfile,lunatics.wav,1,100,0,3,930.233333333334
80,6,1000,soundfile,lunatics.wav,1,100,0,3,931.833333333337
80,6,1000,soundfile,lunatics.wav,1,100,0,3,933.399999999999
80,6,1000,soundfile,lunatics.wav,1,100,0,3,934.966666666668
80,6,1000,soundfile,lunatics.wav,1,100,0,3,936.533333333337
80,6,1000,soundfile,lunatics.wav,1,100,0,3,938.133333333333
80,6,1000,soundfile,lunatics.wav,1,100,0,3,939.733333333336
80,6,1000,soundfile,lunatics.wav,1,100,0,3,941.333333333333
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1060.56666666667
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1062.13333333334
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1063.7
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1065.26666666667
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1066.83333333334
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1068.4
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1069.96666666667
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1071.53333333333
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1073.13333333334
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1074.56666666667
80,6,1000,soundfile,lunatics.wav,1,100,0,3,1486.06666666667
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-487.866666666668
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-468.366666666667
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-466.766666666667
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-465.200000000001
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-463.633333333334
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-462.066666666668
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-460.500000000001
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-458.900000000001
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-457.333333333335
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-456.566666666667
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-455.766666666667
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-454.166666666667
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-452.566666666668
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-451.000000000001
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-330.200000000001
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-328.633333333334
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-327.066666666668
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-325.500000000001
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-323.933333333335
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-322.366666666667
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-320.800000000001
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-319.200000000001
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-317.733333333334
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-21.1000000000006
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-20.7666666666677
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-10.6000000000011
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-10.1000000000013
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-8.10000000000066
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-6.10000000000088
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-5.60000000000116
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,-5.26666666666742
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,5.06666666666611
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,11.3999999999992
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,11.733333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,16.2333333333322
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,17.0666666666657
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,18.5666666666657
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,21.8999999999987
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,22.266666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,24.0666666666653
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,24.3999999999991
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,24.7666666666655
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,26.5999999999993
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,27.0666666666655
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,27.4333333333328
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,30.0666666666656
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,30.5666666666662
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,30.899999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,31.2666666666654
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,59.7666666666656
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,61.9333333333323
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,62.7666666666657
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,64.7666666666655
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,66.9333333333322
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,67.7666666666656
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,68.2333333333327
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,72.3999999999991
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,74.3999999999989
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,76.7333333333324
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,78.7333333333322
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,80.8999999999989
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,82.3999999999989
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,83.2333333333324
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,85.399999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,85.7333333333328
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,87.7333333333326
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,88.0666666666654
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,89.8999999999992
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,93.2333333333322
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,93.5999999999995
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,94.0666666666656
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,97.2333333333326
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,98.8999999999987
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,113.399999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,116.566666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,119.266666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,119.733333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,121.333333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,122.933333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,124.399999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,126.099999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,126.933333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,127.699999999999
